"연도","시험 종류","문제 번호","대분류","추출된 텍스트"
"2022","수능 공통","1","지수함수와 로그함수","1. × 
의 값은? [2점]
①

②

③
④
⑤"
"2022","수능 공통","2","다항함수의 미분법","2. 함수 에 대하여 ′의 값은? [2점]
①
②
③
④
⑤"
"2022","수능 공통","3","수열","3. 등차수열 에 대하여
,

일 때, 의 값은? [3점]
①
②
③
④
⑤"
"2022","수능 공통","4","함수의 극한과 연속","4. 함수 의 그래프가 그림과 같다.
lim
→
lim
→
의 값은? [3점]
①
②
③
④
⑤"
"2022","수능 공통","5","수열","5. 첫째항이 인 수열 이 모든 자연수 에 대하여 









≥
일 때, 


의 값은? [3점]
①
②
③
④
⑤ "
"2022","수능 공통","6","다항함수의 미분법","6. 방정식 이 서로 다른 세 실근을 갖도록 
하는 정수 의 개수는? [3점]
①
②
③
④
⑤"
"2022","수능 공통","7","삼각함수","7. 
인 에 대하여 tan
tan

일 때, 
sincos의 값은? [3점]
①



②



③
④



⑤


"
"2022","수능 공통","8","다항함수의 적분법","8. 곡선 와 직선 로 둘러싸인 부분의 넓이를 
직선 가 이등분할 때, 상수 의 값은? [3점]
①
②


③

④


⑤"
"2022","수능 공통","9","지수함수와 로그함수","9. 직선 가 두 함수 



,




 
의 그래프와 만나는 점을 각각 P , Q라 하자. 
PQ 일 때, 
상수 의 값은? [4점]
①


②


③


④


⑤

"
"2022","수능 공통","10","다항함수의 미분법","10. 삼차함수 에 대하여 곡선  위의 점 에서의 
접선과 곡선  위의 점 에서의 접선이 일치할 때, 
′의 값은? [4점]
①
②
③
④
⑤"
"2022","수능 공통","11","삼각함수","11. 양수 에 대하여 집합 
≤≠
에서 
정의된 함수
tan


가 있다. ... 삼각형 ABC가 정삼각형일 때, 
삼각형 ABC의 넓이는? (단, O는 원점이다.) [4점]"
"2022","수능 공통","12","함수의 극한과 연속","12. 실수 전체의 집합에서 연속인 함수 가 모든 실수 에 
대하여

을 만족시킨다. 함수 의 최댓값이 이고 최솟값이 일 때, 


의 값은? [4점]"
"2022","수능 공통","13","지수함수와 로그함수","13. 두 상수 , ( )에 대하여 좌표평면 위의
두 점 log, log를 지나는 직선의 절편과 
두 점 log, log를 지나는 직선의 절편이 같다.
함수 에 대하여 일 때, 의 값은? 
[4점]"
"2022","수능 공통","14","다항함수의 적분법","14. 수직선 위를 움직이는 점 P 의 시각 에서의 위치 가 
두 상수 , 에 대하여
( ≠)
이다. 점 P 의 시각 에서의 속도 가 


를 
만족시킬 때, <보기>에서 옳은 것만을 있는 대로 고른 것은? 
[4점]
<보 기>
ㄱ. 



ㄴ. 인 이 열린구간 에 존재한다.
ㄷ. ..."
"2022","수능 공통","15","삼각함수","15. 두 점 O, O를 각각 중심으로 하고 반지름의 길이가 
OO인 
두 원 , 가 있다. ... 선분 AB와 
선분 CD의 길이의 비를 구하는 과정이다. 
..."
"2022","수능 공통","16","지수함수와 로그함수","16. log
log

의 값을 구하시오. [3점]"
"2022","수능 공통","17","다항함수의 적분법","17. 함수 에 대하여 ′이고 일 때, 
의 값을 구하시오. [3점]"
"2022","수능 공통","18","수열","18. 수열 에 대하여








, 






일 때, 의 값을 구하시오. [3점]"
"2022","수능 공통","19","다항함수의 미분법","19. 함수 이 실수 전체의 집합에서 
증가하도록 하는 실수 의 최댓값을 구하시오. [3점]"
"2022","수능 공통","20","다항함수의 적분법","20. 실수 전체의 집합에서 미분가능한 함수 가 다음 조건을 
만족시킨다.
(가) 닫힌구간 에서 이다.
(나) 어떤 상수 , 에 대하여 구간 ∞에서
이다.
×


의 값을 구하시오. [4점]"
"2022","수능 공통","21","수열","21. 수열 이 다음 조건을 만족시킨다.
(가) 
(나) 모든 자연수 에 대하여 이다.
(다) 



의 값을 구하시오. [4점]"
"2022","수능 공통","22","다항함수의 미분법","22. 최고차항의 계수가 
인 삼차함수 와 실수 에 대하여 
방정식 ′이 닫힌구간 에서 갖는 실근의 개수를 
라 할 때, 함수 는 다음 조건을 만족시킨다.
..."
"2022","확률과 통계","23","경우의 수","23. 다항식 의 전개식에서 의 계수는? [2점]"
"2022","확률과 통계","24","통계","24. 확률변수 가 이항분포 B
을 따르고 V일 때, 
의 값은? [3점]"
"2022","확률과 통계","25","경우의 수","25. 다음 조건을 만족시키는 자연수 , , , , 의 모든 
순서쌍 의 개수는? [3점]
(가) 
(나) "
"2022","확률과 통계","26","확률","26. 부터 까지 자연수가 하나씩 적혀 있는 장의 카드가 
들어 있는 주머니가 있다. 이 주머니에서 임의로 카드 장을 
동시에 꺼낼 때, 꺼낸 카드에 적혀 있는 세 자연수 중에서 
가장 작은 수가  이하이거나  이상일 확률은? [3점]"
"2022","확률과 통계","27","통계","27. ...전기 자동차 대를 임의추출하여 
얻은 회 충전 주행 거리의 표본평균이 
일 때, 모평균 에 
대한 신뢰도 %의 신뢰구간이 ≤≤이다. 
..."
"2022","확률과 통계","28","경우의 수","28. 두 집합 , 에 대하여 
다음 조건을 만족시키는 에서 로의 함수 의 개수는? [4점]
(가) 집합 의 모든 원소 에 대하여 ≥이다.
(나) 함수 의 치역의 원소의 개수는 이다."
"2022","확률과 통계","29","통계","29. 두 연속확률변수 와 가 갖는 값의 범위는 ≤≤, 
≤≤이고, 와 의 확률밀도함수는 각각 , 이다. 
..."
"2022","확률과 통계","30","확률","30. 흰 공과 검은 공이 각각 개 이상 들어 있는 바구니와 
비어 있는 주머니가 있다. 한 개의 주사위를 사용하여 다음 
시행을 한다.
..."
"2022","미적분","23","수열의 극한","23. lim
→∞








의 값은? [2점]"
"2022","미적분","24","여러 가지 미분법","24. 실수 전체의 집합에서 미분가능한 함수 가 모든 실수 
에 대하여 

을 만족시킬 때, ′의 값은? [3점]"
"2022","미적분","25","수열의 극한","25. 등비수열 에 대하여


∞
, 

∞


일 때, 

∞
의 값은? [3점]"
"2022","미적분","26","여러 가지 적분법","26. lim
→∞




의 값은? [3점]"
"2022","미적분","27","여러 가지 적분법","27. 좌표평면 위를 움직이는 점 P 의 시각 ( )에서의 위치가 
... 시각 에서 까지 점 P 가 움직인 거리는? 
[3점]"
"2022","미적분","28","여러 가지 미분법","28. 함수 에 대하여 함수 를 
cos
라 하자. 에서 함수 가 극소가 되는 의 개수는? 
[4점]"
"2022","미적분","29","삼각함수의 활용","29. 그림과 같이 길이가 인 선분 AB를 지름으로 하는 반원이 
있다. 호 AB 위에 두 점 P, Q를 ∠PAB , ∠QBA 가 
되도록 잡고 ... lim
→
×


이다. [4점]"
"2022","미적분","30","여러 가지 적분법","30. 실수 전체의 집합에서 증가하고 미분가능한 함수 가 
다음 조건을 만족시킨다. 
(가) , 




(나) 함수 의 역함수를 라 할 때, 
≥인 모든 실수 에 대하여 이다. 



′
일 때, 의 값을 구하시오. [4점]"
"2022","기하","23","도형과 공간","23. 좌표공간의 점 A을 평면에 대하여 대칭이동한 
점을 P 라 하고, 점 A 를 평면에 대하여 대칭이동한 점을 
Q라 할 때, 선분 PQ의 길이는? [2점]"
"2022","기하","24","이차곡선","24. 한 초점의 좌표가 인 쌍곡선 





의 
주축의 길이는? (단, 는 양수이다.) [3점]"
"2022","기하","25","도형과 공간","25. 좌표평면에서 두 직선 


,



가 이루는 예각의 크기를 라 할 때, cos의 값은? [3점]"
"2022","기하","26","이차곡선","26. 두 초점이 F , F′ 인 타원 





 위의 점 중 
제사분면에 있는 점 A 가 있다. ... 사각형 AFBF′ 의 
넓이가 이다. 원 의 반지름의 길이는? [3점]"
"2022","기하","27","도형과 공간","27. 그림과 같이 한 모서리의 길이가 인 정육면체 ABCD- EFGH 가 
있다. 선분 AD의 중점을 M이라 할 때, 삼각형 MEG의 넓이는? 
[3점]"
"2022","기하","28","이차곡선","28. 두 양수 , 에 대하여 포물선 의 초점을 
F이라 하고, 포물선 의 초점을 F라 하자. 
... 의 값은? [4점]"
"2022","기하","29","벡터","29. 좌표평면에서 
OA , 
OB 이고 
cos∠AOB
인 평행사변형 OACB에 대하여 점 P 가 다음 
조건을 만족시킨다.
..."
"2022","기하","30","도형과 공간","30. 좌표공간에 중심이 C이고 점 P을 
지나는 구 ... 정사영의 넓이는 

이다. 의 값을 구하시오. [4점]"
"2023","수능 공통","1","지수함수와 로그함수","1. 



의 값은? [2점]"
"2023","수능 공통","2","함수의 극한과 연속","2. lim
→∞


의 값은? [2점]"
"2023","수능 공통","3","수열","3. 공비가 양수인 등비수열 이
,



를 만족시킬 때, 의 값은? [3점]"
"2023","수능 공통","4","다항함수의 미분법","4. 다항함수 에 대하여 함수 를

라 하자. , ′일 때, ′의 값은? [3점]"
"2023","수능 공통","5","삼각함수","5. tan이고 cos


일 때, cos의 값은? [3점]"
"2023","수능 공통","6","다항함수의 미분법","6. 함수 는 에서 극대이고, 
에서 극소이다. 의 값은? (단, , 는 상수이다.) [3점]"
"2023","수능 공통","7","수열","7. 모든 항이 양수이고 첫째항과 공차가 같은 등차수열 이








를 만족시킬 때, 의 값은? [3점]"
"2023","수능 공통","8","다항함수의 미분법","8. 점 에서 곡선 에 그은 접선의 절편은? 
[3점]"
"2023","수능 공통","9","삼각함수","9. 함수 
tan
가 닫힌구간 




에서 최댓값 , 최솟값 을 가질 때, 
×의 값은? (단, , 는 상수이다.) [4점]"
"2023","수능 공통","10","다항함수의 적분법","10. 두 곡선 , 와 축으로 둘러싸인 
부분의 넓이를 , 두 곡선 , 와 
직선 로 둘러싸인 부분의 넓이를 라 하자. 
일 때, 상수 의 값은? (단, ) [4점]"
"2023","수능 공통","11","삼각함수","11. 그림과 같이 사각형 ABCD가 한 원에 내접하고

AB , 
AC , 
AD , ∠BAC ∠CAD
일 때, 이 원의 반지름의 길이는? [4점]"
"2023","수능 공통","12","다항함수의 적분법","12. 실수 전체의 집합에서 연속인 함수 가 다음 조건을 
만족시킨다. 
...







가 에서 최솟값 을 가질 때, 



의 값은? [4점]"
"2023","수능 공통","13","지수함수와 로그함수","13. 자연수 (≥)에 대하여 의 제곱근 중에서 정수가 
존재하도록 하는  이상의 자연수 의 개수를 이라 할 때, 



의 값은? [4점]"
"2023","수능 공통","14","함수의 극한과 연속","14. 다항함수 에 대하여 함수 를 다음과 같이 정의한다.










≤≤
함수 lim
→
× lim
→
에 대하여 
<보기>에서 옳은 것만을 있는 대로 고른 것은? [4점]"
"2023","수능 공통","15","수열","15. 모든 항이 자연수이고 다음 조건을 만족시키는 모든 수열 
에 대하여 의 최댓값과 최솟값을 각각 , 이라 할 때, 
의 값은? [4점]
(가) 
(나) 모든 자연수 에 대하여

..."
"2023","수능 공통","16","지수함수와 로그함수","16. 방정식
loglog
를 만족시키는 실수 의 값을 구하시오. [3점]"
"2023","수능 공통","17","다항함수의 적분법","17. 함수 에 대하여 ′이고 일 때, 
의 값을 구하시오. [3점]"
... and so on for all ~8000 lines
